fecha_devolucion,id_producto,id_tienda,cantidad_devuelta
1/1/2027,250,6,1
1/1/2027,628,6,1
1/1/2027,869,6,1
1/2/2027,469,11,1
1/2/2027,532,23,2
1/2/2027,742,23,1
1/2/2027,761,11,1
1/2/2027,1396,11,1
1/3/2027,1,7,1
1/3/2027,365,7,2
1/3/2027,385,7,1
1/3/2027,671,7,1
1/3/2027,1329,23,2
1/5/2027,70,15,1
1/5/2027,461,7,1
1/5/2027,469,23,1
1/5/2027,850,7,1
1/5/2027,927,7,1
1/5/2027,961,23,1
1/5/2027,987,23,1
1/5/2027,1117,23,1
1/5/2027,1292,15,1
1/5/2027,1458,23,1
1/6/2027,23,24,1
1/6/2027,40,24,2
1/6/2027,43,6,1
1/6/2027,85,24,1
1/6/2027,193,24,1
1/6/2027,464,3,1
1/6/2027,918,3,1
1/6/2027,1104,24,2
1/6/2027,1296,3,1
1/7/2027,310,13,1
1/7/2027,418,13,1
1/7/2027,599,13,1
1/7/2027,638,13,1
1/7/2027,1078,13,1
1/7/2027,1152,13,2
1/7/2027,1257,11,1
1/9/2027,132,23,1
1/9/2027,254,3,1
1/9/2027,290,3,1
1/9/2027,568,23,1
1/9/2027,1081,3,2
1/9/2027,1164,3,1
1/9/2027,1230,3,1
1/9/2027,1371,23,1
1/10/2027,12,24,2
1/10/2027,238,24,1
1/10/2027,358,24,1
1/10/2027,964,24,1
1/11/2027,75,13,1
1/11/2027,107,13,1
1/11/2027,188,13,2
1/11/2027,189,13,1
1/11/2027,229,13,2
1/11/2027,391,13,1
1/11/2027,412,24,2
1/11/2027,475,13,1
1/11/2027,484,6,1
1/11/2027,569,13,1
1/11/2027,590,13,1
1/11/2027,594,17,2
1/11/2027,669,17,2
1/11/2027,804,13,1
1/11/2027,915,24,1
1/11/2027,950,6,1
1/11/2027,959,13,1
1/11/2027,992,13,1
1/11/2027,1046,13,1
1/11/2027,1049,13,1
1/11/2027,1063,13,1
1/11/2027,1226,13,1
1/11/2027,1319,13,1
1/11/2027,1327,24,1
1/11/2027,1393,13,1
1/11/2027,1404,13,1
1/11/2027,1445,13,1
