id_producto,marca_producto,nombre_producto,sku,precio,costo,peso,sin_aditivos,bajo_en_calorías
1, Doña Lola, Pollo fresco,208721742450-5,3.26,1.06,8.8,,
2, Doña Lola, Yogur griego,221987955748-5,0.85,0.29,7.8,,1
3, Doña Lola, Galletas de avena,134383875428-5,0.95,0.45,13.8,1,1
4, Doña Lola, Queso cheddar,148147958218-1,4.17,1.86,11.1,1,
5, Doña Lola, Zanahorias frescas,196790740310-8,2.51,0.87,7,1,
6, Doña Lola, Vinagre de manzana,68550678431-9,1.32,0.42,16.6,,
7, Doña Lola, Cereal de arroz,46440322934-3,2.99,1.03,18.9,1,
8, Doña Lola, Mantequilla de almendras,206472224175-8,2.97,0.91,9.4,1,
9, Doña Lola, Cereal de maíz,113608731090-1,2.77,0.87,7.5,,
10, Doña Lola, Jugo de piña,50862394033-9,1.63,0.57,8.5,1,
11, Doña Lola, Pimientos rojos,39270864068-1,4.02,1.87,21,,1
12, Tía Gema, Mantequilla,112771389424-8,1.76,0.78,9.3,1,1
13, Tía Gema, Yogur griego,30426721871-4,3.04,1.44,10.9,,
14, Tía Gema, Lentejas secas,213768469987-6,2.21,0.8,22.7,1,1
15, Tía Gema, Galletas integrales,60670664846-6,2.62,1.22,22.4,,1
16, Don Manuel, Berenjenas,144690015732-9,4.39,1.95,22.3,,1
17, Don Manuel, Frijoles negros,182813972294-6,3.43,1.7,7.3,1,1
18, Don Manuel, Mantequilla de almendras,196080185592-9,3.06,1.32,13.2,1,
19, Don Manuel, Pan blanco,108476105271-6,3.65,1.66,16,1,1
20, Don Manuel, Cebollas blancas,50989180981-9,3.18,1.04,22.4,,1
21, Don Manuel, Champiñones frescos,99631963072-6,2.67,1.01,20.7,,1
22, Don Manuel, Refresco de toronja,178391901193-1,2.62,1.11,15.8,,
23, Don Manuel, Yogur natural,75507452070-3,2,0.63,11.1,1,
24, Don Manuel, Tostadas de trigo,28539353311-7,1.98,0.59,13.4,,1
25, Don Manuel, Piña en almíbar,142675860226-2,1.78,0.79,10,1,1
26, Don Manuel, Aceite de oliva,79929523169-9,1.01,0.42,17.3,1,1
27, Don Manuel, Carne molida,68337993203-2,3.04,1.26,11.8,,1
28, Don Manuel, Cereal de arroz,141838518560-2,4.48,1.86,23,1,
29, Don Manuel, Ketchup,59493851004-3,2.04,0.7,18,,
30, Don Manuel, Helado de fresa,214266339481-6,1.62,0.51,10.2,1,
31, Don Manuel, Salsa picante,116143433629-9,1.78,0.84,18.1,1,
32, Don Manuel, Yogur de frutas,200162784517-3,3.28,1.01,9.3,,
33, Don Manuel, Pimientos naranjas,102537748156-3,1.56,0.55,8.7,,1
34, Don Manuel, Mantequilla,115803961456-9,1.94,0.88,17.5,1,1
35, Don Manuel, Galletas integrales,83174780428-6,2.53,1.15,19.1,,1
36, Don Manuel, Pechuga de pavo,25687856137-1,2.06,1,14.7,1,
37, Don Manuel, Arándanos frescos,74330638229-9,1.82,0.54,22.1,1,1
38, La Familia, Salsa de tomate,98115677058-5,1.5,0.7,14.7,1,1
39, La Familia, Cebollas blancas,76005321561-2,3.56,1.23,18.4,1,
40, El Tesoro, Salsa picante,84012122094-6,1.13,0.53,12.3,1,
41, La Estrella, Pimientos amarillos,198148629009-3,1.02,0.42,9,1,
42, La Estrella, Aceitunas verdes,206653299033-9,3.23,1.18,14.3,1,
43, Don Pedro, Salmón ahumado,43036668360-2,1.91,0.62,18.6,1,
44, Don Pedro, Pasas de uva,116537193714-2,3.36,1.22,11.2,,1
45, Don Pedro, Tostadas de trigo,34192526161-8,0.61,0.28,14.3,,
46, Don Pedro, Galletas de avena,188965014635-3,3.94,1.56,15.1,1,
47, Don Pedro, Jugo de naranja natural,90842108785-5,2.94,1.39,18.7,1,
48, Don Pedro, Carne de res,174861459671-2,2.15,0.89,6.6,1,1
49, Don Pedro, Salsa de tomate,158010516941-3,3.87,1.61,17.9,,
50, Don Pedro, Tofu orgánico,171276730239-4,4.53,2.2,10.4,,1
51, Don Pedro, Limones frescos,57267010271-6,1.68,0.5,8.8,,1
52, Don Pedro, Espinacas congeladas,151805186689-5,2.49,1.03,15.2,1,1
53, Don Pedro, Fresas frescas,48422868072-9,4.14,2,19.7,1,1
54, Don Pedro, Mantequilla de maní,72207906901-3,3.36,1.53,10.1,,1
55, Don Pedro, Helado de pistacho,50097551405-3,4.01,1.71,15,1,
56, Don Pedro, Arándanos frescos,58104351938-6,0.81,0.32,21.6,1,
57, Don Pedro, Galletas de avena,172240858853-4,0.7,0.33,21.1,,
58, Don Pedro, Cereal de maíz,54519622503-2,2.65,0.78,16.3,,
59, Don Pedro, Huevos orgánicos,97902991830-1,1.6,0.62,19.7,,
60, Don Pedro, Arroz blanco,116428617895-7,3.05,1.36,7.4,,
61, Don Pedro, Arroz blanco,215284756004-8,0.85,0.42,14.1,,1
62, Don Pedro, Almendras naturales,163057244478-8,4.38,1.95,14.8,,1
63, Tío Pepe, Piña en almíbar,64934338629-9,3.38,1.03,21.3,1,1
64, Tío Pepe, Atún en lata,148953689515-9,1.84,0.66,13.9,1,
65, Tío Pepe, Refresco de naranja,132102746783-8,4.31,1.74,10.8,,1
66, Tío Pepe, Salsa de pescado,145368960082-1,3.94,1.83,12.5,1,1
67, Tío Pepe, Tostadas de trigo,57764879762-8,2.13,1.03,6.5,,1
68, Tío Pepe, Pimientos verdes,207277955472-5,4.08,1.81,16.8,1,1
69, Tío Pepe, Canela en polvo,48920737563-9,3.55,1.23,17.5,1,1
70, Tío Pepe, Helado de fresa,98504970729-3,1.11,0.48,9.3,,
71, Tío Pepe, Frijoles negros,76394615232-1,3.16,1.44,22.9,,
72, Tío Pepe, Nueces mixtas,84401415765-3,3.14,1.14,21.2,,1
73, Tío Pepe, Yogur griego,198537922678-7,2.67,0.93,20.1,,
74, Tío Pepe, Caldo de pollo,80816686331-7,1.8,0.69,6.4,,1
75, Tío Pepe, Sopa de verduras,124200055658-5,0.78,0.27,17.7,,1
76, Tío Pepe, Helado de fresa,142725681722-3,1.94,0.78,19,,1
77, La Gloria, Pimientos verdes,115355913459-2,3.21,1.27,15.4,,1
78, La Gloria, Helado de pistacho,63128401935-8,2.51,1.04,20.5,1,1
79, La Gloria, Yogur de frutas,91231402457-5,1.51,0.61,13,,1
80, La Gloria, Aceite de oliva,175250753342-6,4.16,1.61,18,,
81, La Gloria, Arroz blanco,158399810610-2,2.44,0.98,17.9,,
82, La Perla, Piña en almíbar,171666023910-5,3.09,1.35,22.4,,1
83, La Perla, Mantequilla de almendras,84061943590-8,4.44,1.85,18.9,1,
84, La Perla, Palomitas de maíz,26575019299-9,3.22,1.46,15.3,,
85, La Perla, Atún en lata,75217801391-1,1.56,0.61,7.5,,1
86, La Perla, Cereal de avena,153977739512-1,3.4,1.58,14.9,,1
87, La Perla, Almendras naturales,131867384015-2,2.04,0.8,20,1,
88, La Perla, Té negro,59100090919-2,0.99,0.38,8.3,1,
89, La Perla, Té negro,118261698542-1,1.82,0.7,21.5,,
90, La Perla, Jugo de manzana,55515361487-9,0.88,0.27,10.7,,1
91, La Perla, Mostaza,98898730814-3,3.07,1.52,13.4,1,1
92, La Perla, Mostaza,117424356876-3,0.95,0.35,18,1,
93, La Perla, Plátanos maduros,90054588615-3,1.1,0.42,17.2,1,
94, La Perla, Pepinos frescos,37827077089-8,0.71,0.28,8.3,1,
95, La Perla, Mostaza,91729271947-3,1.67,0.78,9,1,
96, La Perla, Guisantes congelados,23723522125-7,2.42,1.03,11.2,1,1
97, La Perla, Almendras naturales,132492040454-5,0.68,0.32,19.2,1,
98, La Perla, Yogur de frutas,145758253752-2,2.1,0.89,9.9,,
99, La Perla, Canela en polvo,58154173434-4,2.7,1.23,9.3,1,1
100, La Perla, Jugo de piña,207667249143-3,2.23,0.7,10,1,1
101, La Perla, Mantequilla de almendras,49310031235-6,0.82,0.29,21.6,,1
102, La Perla, Mermelada de frambuesa,128069969356-2,2.81,0.92,19.1,,1
103, La Perla, Salsa de barbacoa,105959613859-8,1.09,0.46,10.3,1,
104, La Perla, Salsa picante,113966414392-8,4.46,1.8,12.9,,1
105, La Perla, Plátanos maduros,173128022015-5,4.26,1.89,6.5,1,
106, La Perla, Miel pura,84582490623-3,3.39,1.57,15.3,1,1
107, La Perla, Vinagre balsámico,127965859948-3,2.07,0.91,20.9,,
108, La Perla, Queso fresco,146491486012-6,2.51,1.14,12.5,1,1
109, La Perla, Vinagre balsámico,119121717751-7,4.53,1.56,20,,
110, La Perla, Mostaza,66894206225-5,2.69,0.83,12.6,1,1
111, La Perla, Piña en almíbar,120796401083-2,3.99,1.42,16.2,1,1
112, La Perla, Champiñones frescos,204815751969-9,1.29,0.46,9.8,,1
113, La Joya, Cereal de maíz,35939708529-2,2.62,1.19,20.7,1,
114, La Joya, Cereal de maíz,49205921827-3,1.05,0.49,21.6,,
115, La Joya, Tomates maduros,32852848588-3,0.74,0.23,21.6,1,
116, La Joya, Salsa de barbacoa,182365924297-4,4.55,1.71,8.7,1,
117, La Joya, Yogur griego,24008706391-5,3.15,1.46,9.7,,
118, La Joya, Huevos orgánicos,102768644510-2,1.7,0.52,8.7,1,
119, La Joya, Papas fritas,80658289013-9,2.61,1.17,21.1,,
120, La Joya, Sopa de tomate,33690190254-2,2.59,0.85,13.5,,
121, La Joya, Cereal de arroz,147826697169-8,3.41,1.52,12.2,1,
122, La Joya, Yogur griego,85080360114-9,2.28,0.95,13.1,,
123, La Joya, Jugo de naranja natural,73488830149-8,4.4,1.74,13,,
124, La Joya, Mantequilla de coco,121190161168-8,1.39,0.46,14,1,
125, La Joya, Salchichas,38845493613-7,2.66,1,11.7,,
126, La Joya, Sopa de verduras,41592881381-2,1.84,0.87,21.8,1,
127, La Joya, Lechuga iceberg,95495076237-1,1.99,0.96,17.5,1,
128, La Joya, Jugo de manzana,179514427125-9,0.61,0.22,15.2,,
129, La Joya, Champiñones frescos,217638383685-4,1.78,0.76,10,1,
130, La Joya, Agua mineral,23904596983-4,2.55,0.94,22.4,1,
131, La Joya, Helado de vainilla,143300516665-2,2.75,0.84,20.1,,
132, El Sol, Plátanos maduros,85813592374-9,2.2,0.8,21,1,
133, El Sol, Galletas integrales,207526717482-1,0.8,0.33,14.7,,
134, El Sol, Carne molida,79286655603-2,2.78,1.23,7.2,1,
135, El Sol, Caldo de pollo,57176300107-9,4.46,1.94,8.1,,
136, El Sol, Huevos orgánicos,217208201348-1,4.43,2.11,18.3,,
137, El Sol, Tomates maduros,124344708263-2,4.24,2.02,14,1,
138, El Sol, Galletas de avena,61598371208-1,3.09,1.38,12.9,1,
139, El Sol, Queso cheddar,50006841240-1,2.05,0.95,22.2,,
140, El Sol, Salsa de barbacoa,123507366597-5,2.08,0.91,6.3,,
141, El Sol, Queso cheddar,222363504707-9,4.5,2.23,16.5,1,
142, El Sol, Pimientos rojos,225110892473-1,2.66,1.29,8.9,,
143, El Sol, Carne molida,72013087331-3,2.82,1.17,9.9,,
144, El Sol, Manzanas rojas,156032438217-6,0.58,0.28,21.3,1,
145, El Sol, Pasta de trigo,194156394779-1,2.6,0.83,22.3,,
146, El Sol, Cereal de avena,207422608077-3,4.39,1.47,14.7,1,
147, El Sol, Pollo fresco,119818527756-5,0.73,0.28,13.7,1,
148, El Sol, Salmón ahumado,62331603466-7,4.53,1.47,9.4,1,
149, El Sol, Galletas de avena,110974385557-2,2.85,1.25,18.5,1,
150, El Sol, Leche entera,105583719431-7,3.95,1.75,19.5,1,
151, El Sol, Mermelada de frambuesa,83473363934-3,3.33,1.22,12.9,1,
152, El Sol, Atún en lata,36505265175-1,3.31,1.18,18.1,1,
153, El Sol, Palomitas de maíz,221892779169-4,3.12,1.08,19,,
154, El Sol, Helado de fresa,159146442114-7,2.25,0.76,17.6,1,
155, El Sol, Mantequilla,147554912149-2,4.36,2.03,21.6,1,
156, El Sol, Cereal de maíz,221055437503-5,0.63,0.26,22.6,,
157, El Sol, Queso fresco,138710769950-2,3.38,1.47,21.2,1,
158, El Sol, Salsa de pescado,86483258426-6,1.81,0.61,22.2,,
159, El Sol, Vinagre de manzana,195360352574-8,1.96,0.84,10.6,,
160, El Sol, Salsa de barbacoa,72379703460-2,2.44,1.18,9.6,,
161, El Sol, Fresas frescas,55528760730-2,1.74,0.72,10.5,1,
162, El Sol, Zanahorias frescas,42995779691-4,3.26,1.39,14.5,1,
163, El Sol, Mermelada de fresa,217366598665-9,2.73,0.94,15.4,,
164, La Luna, Queso parmesano,159879674375-5,3.4,1.65,14.1,1,1
165, La Luna, Jugo de arándano,208522456466-7,2,0.69,8.7,,
166, La Rosa, Mermelada de fresa,25307495295-7,2.83,1.18,11.8,1,
167, La Rosa, Pasas de uva,210197139799-4,0.69,0.25,15.1,,
168, La Rosa, Leche entera,218203940332-8,1.44,0.65,10.9,,
